Dalvik/1.6.0(Linux; U; Android 4.2.2;CPH2099 Build/LR5KV5D2)[FBAN/FB4A;FBAV/110.0.0.24.63FBBV/4476684FBDM={density=3.0,width=522,height=1625}FBLC/ja_JPFBRV/9239175FBCR/T-MobileFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 6.0;CPH2127 Build/AIHKRV26)[FBAN/FB4A;FBAV/101.0.0.73.54FBBV/7747929FBDM={density=3.0,width=1022,height=1264}FBLC/it_ITFBRV/5912839FBCR/VodafoneFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2127FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 12.0;LM-Q710 Build/E8PO999D)[FBAN/FB4A;FBAV/93.0.0.7.82FBBV/8927286FBDM={density=3.0,width=659,height=781}FBLC/it_ITFBRV/3560583FBCR/TelecomFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 10.0;Moto G Fast Build/G8WJNEFP)[FBAN/FB4A;FBAV/118.0.0.16.84FBBV/5414937FBDM={density=3.0,width=835,height=1448}FBLC/de_DEFBRV/497792FBCR/VerizonFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G FastFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;V2010 Build/0WNY46Z2)[FBAN/FB4A;FBAV/91.0.0.14.9FBBV/5407293FBDM={density=3.0,width=576,height=1328}FBLC/pt_BRFBRV/5027797FBCR/TelecomFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2010FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;V2072 Build/PNE8H6VB)[FBAN/FB4A;FBAV/93.0.0.26.44FBBV/5908604FBDM={density=3.0,width=1074,height=1120}FBLC/ko_KRFBRV/6922394FBCR/OrangeFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2072FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;Moto G Fast Build/IUEGBRJS)[FBAN/FB4A;FBAV/84.0.0.58.11FBBV/394355FBDM={density=3.0,width=532,height=1687}FBLC/en_USFBRV/8638339FBCR/VerizonFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G FastFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;SM-A528B Build/8SIQ7OLM)[FBAN/FB4A;FBAV/103.0.0.57.78FBBV/3292101FBDM={density=3.0,width=934,height=836}FBLC/it_ITFBRV/636536FBCR/AT&TFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A528BFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;V2007 Build/8LAVU75I)[FBAN/FB4A;FBAV/111.0.0.46.41FBBV/4671844FBDM={density=3.0,width=886,height=857}FBLC/pt_BRFBRV/5082915FBCR/Boost MobileFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;Mate 20 Pro Build/0JGWZX2F)[FBAN/FB4A;FBAV/101.0.0.51.21FBBV/1331314FBDM={density=3.0,width=778,height=1909}FBLC/ja_JPFBRV/5530973FBCR/OrangeFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Mate 20 ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;V2007 Build/TIR0ESQE)[FBAN/FB4A;FBAV/80.0.0.69.54FBBV/6896327FBDM={density=3.0,width=613,height=1539}FBLC/pt_BRFBRV/7145782FBCR/VodafoneFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 6.0;Mi 10T Pro Build/28VDL7EC)[FBAN/FB4A;FBAV/102.0.0.2.50FBBV/4337213FBDM={density=3.0,width=485,height=905}FBLC/ja_JPFBRV/3802811FBCR/AT&TFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 10T ProFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;Xperia 10 IV Build/B5C7ZQHP)[FBAN/FB4A;FBAV/81.0.0.8.60FBBV/2562984FBDM={density=3.0,width=985,height=814}FBLC/zh_TWFBRV/2753988FBCR/T-MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10 IVFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;Redmi Note 9 Pro Build/VQKX8F13)[FBAN/FB4A;FBAV/92.0.0.5.7FBBV/7807060FBDM={density=3.0,width=728,height=1465}FBLC/fr_FRFBRV/5563245FBCR/TelecomFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Redmi Note 9 ProFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;Xperia 10 Build/Y47TGOOG)[FBAN/FB4A;FBAV/97.0.0.5.96FBBV/6152459FBDM={density=3.0,width=691,height=1781}FBLC/pt_BRFBRV/9975011FBCR/VerizonFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;LM-Q710 Build/P7M1TXCY)[FBAN/FB4A;FBAV/95.0.0.56.69FBBV/581571FBDM={density=3.0,width=578,height=1891}FBLC/de_DEFBRV/4031767FBCR/SprintFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;SM-A528B Build/VEL8F554)[FBAN/FB4A;FBAV/106.0.0.37.23FBBV/7644255FBDM={density=3.0,width=980,height=1251}FBLC/de_DEFBRV/4867089FBCR/VerizonFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A528BFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;Xperia 5 II Build/QI1UDHKA)[FBAN/FB4A;FBAV/99.0.0.4.11FBBV/9341659FBDM={density=3.0,width=704,height=1683}FBLC/en_USFBRV/5654034FBCR/T-MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;SM-A528B Build/UMHMQMUU)[FBAN/FB4A;FBAV/120.0.0.81.77FBBV/5234245FBDM={density=3.0,width=982,height=838}FBLC/ko_KRFBRV/840212FBCR/T-MobileFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A528BFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;V2007 Build/DPPMB4XY)[FBAN/FB4A;FBAV/91.0.0.23.21FBBV/9133119FBDM={density=3.0,width=612,height=1734}FBLC/zh_TWFBRV/17822FBCR/Boost MobileFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;ASUS_Z007 Build/N7ULVU0V)[FBAN/FB4A;FBAV/92.0.0.88.81FBBV/8971055FBDM={density=3.0,width=521,height=1622}FBLC/ko_KRFBRV/7275544FBCR/VerizonFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z007FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;P40 Pro Build/WEEBSWT8)[FBAN/FB4A;FBAV/107.0.0.14.32FBBV/3787079FBDM={density=3.0,width=645,height=1221}FBLC/ja_JPFBRV/6971759FBCR/VodafoneFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 6.0;Xperia 10 Build/C3JAOMUB)[FBAN/FB4A;FBAV/84.0.0.100.24FBBV/8572977FBDM={density=3.0,width=451,height=1914}FBLC/de_DEFBRV/5491921FBCR/Boost MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;V2010 Build/7SMLURUN)[FBAN/FB4A;FBAV/88.0.0.32.87FBBV/9540537FBDM={density=3.0,width=1078,height=1878}FBLC/ja_JPFBRV/4365276FBCR/Boost MobileFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2010FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;SM-N975F Build/NRBYCPRP)[FBAN/FB4A;FBAV/85.0.0.58.1FBBV/664321FBDM={density=3.0,width=645,height=1081}FBLC/ko_KRFBRV/3819271FBCR/Boost MobileFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-N975FFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 12.0;P40 Pro Build/HSYVXUNS)[FBAN/FB4A;FBAV/105.0.0.69.37FBBV/6121631FBDM={density=3.0,width=842,height=984}FBLC/de_DEFBRV/823722FBCR/Boost MobileFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;LM-Q710 Build/67YWLM5A)[FBAN/FB4A;FBAV/81.0.0.15.99FBBV/4403006FBDM={density=3.0,width=957,height=917}FBLC/de_DEFBRV/7606881FBCR/OrangeFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;Moto G Fast Build/7EDJQKIY)[FBAN/FB4A;FBAV/111.0.0.85.77FBBV/4043795FBDM={density=3.0,width=622,height=1059}FBLC/ko_KRFBRV/2407547FBCR/O2FBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G FastFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;P30 Pro Build/Q8KPUMTV)[FBAN/FB4A;FBAV/97.0.0.29.5FBBV/6510175FBDM={density=3.0,width=979,height=720}FBLC/ko_KRFBRV/3175621FBCR/T-MobileFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P30 ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;P40 Pro Build/CNA4FO78)[FBAN/FB4A;FBAV/92.0.0.51.21FBBV/7235331FBDM={density=3.0,width=516,height=1742}FBLC/ja_JPFBRV/1481704FBCR/AT&TFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;Pixel 4a Build/U562N1IO)[FBAN/FB4A;FBAV/102.0.0.94.10FBBV/898232FBDM={density=3.0,width=752,height=1145}FBLC/ko_KRFBRV/6886547FBCR/SprintFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;LM-Q710 Build/RHBOMBGT)[FBAN/FB4A;FBAV/81.0.0.39.45FBBV/8971603FBDM={density=3.0,width=1042,height=1074}FBLC/zh_TWFBRV/3176850FBCR/O2FBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;ASUS_Z012 Build/F6WUEJIC)[FBAN/FB4A;FBAV/104.0.0.34.35FBBV/9744731FBDM={density=3.0,width=721,height=887}FBLC/zh_CNFBRV/6260277FBCR/VodafoneFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z012FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;Moto G Power Build/CYK0VTWX)[FBAN/FB4A;FBAV/118.0.0.82.95FBBV/384755FBDM={density=3.0,width=413,height=1660}FBLC/it_ITFBRV/690369FBCR/VerizonFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PowerFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;Pixel 5a Build/32S3GAN1)[FBAN/FB4A;FBAV/80.0.0.27.36FBBV/6452173FBDM={density=3.0,width=627,height=1338}FBLC/it_ITFBRV/859889FBCR/TelecomFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 5aFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;CPH2171 Build/KUG8PAJQ)[FBAN/FB4A;FBAV/119.0.0.19.11FBBV/6028177FBDM={density=3.0,width=847,height=1620}FBLC/de_DEFBRV/2633675FBCR/VodafoneFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;Moto G Power Build/5WFHBSR6)[FBAN/FB4A;FBAV/87.0.0.81.36FBBV/1561305FBDM={density=3.0,width=421,height=1652}FBLC/fr_FRFBRV/8096831FBCR/VodafoneFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PowerFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;Mate 20 Pro Build/TH07IEFA)[FBAN/FB4A;FBAV/115.0.0.58.32FBBV/1022724FBDM={density=3.0,width=897,height=1804}FBLC/en_USFBRV/9529122FBCR/AT&TFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Mate 20 ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;Poco X3 NFC Build/832N3X18)[FBAN/FB4A;FBAV/114.0.0.100.83FBBV/7969692FBDM={density=3.0,width=949,height=1155}FBLC/pt_BRFBRV/9052414FBCR/O2FBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Poco X3 NFCFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;Xperia 5 II Build/KIIF2PQU)[FBAN/FB4A;FBAV/86.0.0.61.64FBBV/7775758FBDM={density=3.0,width=632,height=1647}FBLC/es_ESFBRV/6266361FBCR/AT&TFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 12.0;LM-G820 Build/PUB5WASY)[FBAN/FB4A;FBAV/90.0.0.82.9FBBV/2444952FBDM={density=3.0,width=518,height=1244}FBLC/fr_FRFBRV/915244FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 12.0;LM-Q710 Build/OWHMPPFB)[FBAN/FB4A;FBAV/96.0.0.28.53FBBV/6637038FBDM={density=3.0,width=1027,height=1696}FBLC/pt_BRFBRV/6707267FBCR/Boost MobileFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 10.0;Moto G Power Build/XDMELXEE)[FBAN/FB4A;FBAV/106.0.0.48.57FBBV/9391175FBDM={density=3.0,width=671,height=680}FBLC/zh_CNFBRV/7814434FBCR/TelecomFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PowerFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;ASUS_Z010 Build/QTREL00I)[FBAN/FB4A;FBAV/95.0.0.29.72FBBV/1509067FBDM={density=3.0,width=801,height=874}FBLC/es_ESFBRV/9418202FBCR/VerizonFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z010FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;Poco X3 NFC Build/33S75YQH)[FBAN/FB4A;FBAV/80.0.0.52.22FBBV/3592525FBDM={density=3.0,width=737,height=1743}FBLC/fr_FRFBRV/1879443FBCR/AT&TFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Poco X3 NFCFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;Xperia 5 II Build/Z0HPMPQE)[FBAN/FB4A;FBAV/83.0.0.85.59FBBV/6847742FBDM={density=3.0,width=736,height=1429}FBLC/es_ESFBRV/8143616FBCR/SprintFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;Mi 10T Pro Build/F2J35ZPP)[FBAN/FB4A;FBAV/104.0.0.71.44FBBV/2068869FBDM={density=3.0,width=1036,height=1316}FBLC/it_ITFBRV/9707813FBCR/VerizonFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 10T ProFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;Xperia 5 II Build/R6KYWG8I)[FBAN/FB4A;FBAV/88.0.0.92.31FBBV/7585989FBDM={density=3.0,width=509,height=1148}FBLC/it_ITFBRV/7931045FBCR/OrangeFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;ASUS_Z017 Build/UKNU9TJE)[FBAN/FB4A;FBAV/106.0.0.15.100FBBV/1740733FBDM={density=3.0,width=538,height=1570}FBLC/ja_JPFBRV/3824339FBCR/T-MobileFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z017FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;CPH2099 Build/9N34GUZS)[FBAN/FB4A;FBAV/85.0.0.2.37FBBV/8039848FBDM={density=3.0,width=764,height=1473}FBLC/ko_KRFBRV/1408933FBCR/O2FBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;P30 Pro Build/8HPP5RRH)[FBAN/FB4A;FBAV/102.0.0.22.73FBBV/5848338FBDM={density=3.0,width=879,height=649}FBLC/ja_JPFBRV/6107079FBCR/T-MobileFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P30 ProFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 10.0;LM-G820 Build/B18EWO90)[FBAN/FB4A;FBAV/103.0.0.1.99FBBV/6325724FBDM={density=3.0,width=967,height=1664}FBLC/es_ESFBRV/5166832FBCR/T-MobileFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;CPH2127 Build/ESO1WWS6)[FBAN/FB4A;FBAV/99.0.0.39.16FBBV/9409054FBDM={density=3.0,width=390,height=1484}FBLC/ja_JPFBRV/5131094FBCR/VerizonFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2127FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;Pixel 6 Pro Build/JDR6W0Y7)[FBAN/FB4A;FBAV/120.0.0.7.98FBBV/4930879FBDM={density=3.0,width=717,height=1746}FBLC/ko_KRFBRV/3942895FBCR/AT&TFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6 ProFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;Moto G Stylus Build/TBVMOBLJ)[FBAN/FB4A;FBAV/120.0.0.68.41FBBV/2399285FBDM={density=3.0,width=643,height=739}FBLC/zh_TWFBRV/695928FBCR/VodafoneFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G StylusFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;LM-G820 Build/J1RU9210)[FBAN/FB4A;FBAV/103.0.0.38.98FBBV/4352734FBDM={density=3.0,width=632,height=1211}FBLC/de_DEFBRV/6563893FBCR/Boost MobileFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;Pixel 4a Build/3WOL11IK)[FBAN/FB4A;FBAV/116.0.0.87.69FBBV/2459198FBDM={density=3.0,width=570,height=1428}FBLC/pt_BRFBRV/45472FBCR/TelecomFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 4.2.2;P40 Pro Build/FPZ9DINS)[FBAN/FB4A;FBAV/111.0.0.13.42FBBV/6278593FBDM={density=3.0,width=921,height=859}FBLC/it_ITFBRV/7534988FBCR/VerizonFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;Pixel 5a Build/3NL53UHD)[FBAN/FB4A;FBAV/95.0.0.27.5FBBV/9717266FBDM={density=3.0,width=471,height=1408}FBLC/pt_BRFBRV/4591079FBCR/O2FBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 5aFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 4.2.2;CPH2171 Build/OSY6Q7X4)[FBAN/FB4A;FBAV/87.0.0.21.40FBBV/1369130FBDM={density=3.0,width=965,height=1342}FBLC/en_USFBRV/2998875FBCR/VerizonFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;ASUS_Z017 Build/9BGTH2FM)[FBAN/FB4A;FBAV/84.0.0.40.5FBBV/3624429FBDM={density=3.0,width=611,height=1829}FBLC/zh_TWFBRV/2802338FBCR/VodafoneFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z017FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 4.2.2;Nova 5T Build/11O7OKEF)[FBAN/FB4A;FBAV/103.0.0.28.41FBBV/8050380FBDM={density=3.0,width=971,height=1324}FBLC/ko_KRFBRV/33468FBCR/AT&TFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Nova 5TFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;ASUS_Z010 Build/DPOM2F4I)[FBAN/FB4A;FBAV/96.0.0.1.57FBBV/5670525FBDM={density=3.0,width=542,height=1815}FBLC/zh_TWFBRV/1335039FBCR/VodafoneFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z010FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;SM-A127F Build/86GFUKUM)[FBAN/FB4A;FBAV/110.0.0.86.38FBBV/1150075FBDM={density=3.0,width=714,height=1292}FBLC/es_ESFBRV/4949546FBCR/VodafoneFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;P30 Pro Build/LQ2PGH3M)[FBAN/FB4A;FBAV/117.0.0.71.85FBBV/521916FBDM={density=3.0,width=548,height=1789}FBLC/ja_JPFBRV/5111012FBCR/O2FBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P30 ProFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;SM-A127F Build/7KVFD5X5)[FBAN/FB4A;FBAV/115.0.0.92.8FBBV/4687543FBDM={density=3.0,width=554,height=1797}FBLC/fr_FRFBRV/4530233FBCR/VodafoneFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 12.0;Mate 20 Pro Build/O8A5NPYX)[FBAN/FB4A;FBAV/108.0.0.24.87FBBV/5827127FBDM={density=3.0,width=953,height=1386}FBLC/pt_BRFBRV/3425894FBCR/Boost MobileFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Mate 20 ProFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;Pixel 6 Pro Build/8ESUJUEY)[FBAN/FB4A;FBAV/82.0.0.72.34FBBV/6451699FBDM={density=3.0,width=672,height=949}FBLC/ko_KRFBRV/5107971FBCR/VodafoneFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6 ProFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;Pixel 4a Build/YULY11YP)[FBAN/FB4A;FBAV/117.0.0.45.18FBBV/1897593FBDM={density=3.0,width=1054,height=1015}FBLC/ko_KRFBRV/6130567FBCR/VodafoneFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 12.0;Poco X3 NFC Build/RQ4IA4PR)[FBAN/FB4A;FBAV/102.0.0.86.97FBBV/4627656FBDM={density=3.0,width=948,height=1331}FBLC/it_ITFBRV/4413673FBCR/Boost MobileFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Poco X3 NFCFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
